taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
1262;2016-12-15 10:00:00;240;0,0;5,0;0,0;készpénz
53;2016-12-18 01:15:00;300;0,0;5,5;0,0;készpénz
6923;2016-12-20 17:00:00;240;0,0;4,25;0,0;készpénz
4494;2016-12-27 21:00:00;300;0,9;5,5;0,0;készpénz
7468;2016-12-26 16:45:00;1080;0,4;21,0;3,0;bankkártya
3235;2016-12-27 13:45:00;300;0,8;6,0;0,0;készpénz
8271;2016-12-03 15:15:00;240;0,5;5,0;0,0;készpénz
5704;2016-12-13 12:15:00;180;0,5;4,75;2,0;bankkártya
1901;2016-12-09 15:15:00;840;0,0;9,5;0,0;készpénz
4710;2016-12-21 11:45:00;300;0,5;5,0;0,0;készpénz
8565;2016-12-30 17:30:00;240;0,7;5,25;0,0;készpénz
1098;2016-12-04 15:45:00;600;0,0;9,5;0,0;készpénz
1746;2016-12-09 19:15:00;360;0,9;5,75;2,0;bankkártya
3237;2016-12-12 13:15:00;240;0,7;5,5;0,0;készpénz
4870;2016-12-13 20:15:00;120;0,0;3,75;0,0;készpénz
2329;2016-12-18 11:45:00;600;0,1;8,75;0,0;készpénz
3573;2016-12-18 15:15:00;180;0,7;5,0;0,0;készpénz
6727;2016-12-19 08:30:00;420;0,9;6,25;2,0;bankkártya
5619;2016-12-13 17:45:00;420;0,9;6,0;0,0;készpénz
5178;2016-12-01 22:15:00;180;0,9;5,25;0,0;készpénz
6117;2016-12-06 05:15:00;1;0,02;3,25;0,0;készpénz
6923;2016-12-02 19:45:00;900;0,1;9,25;0,0;készpénz
7368;2016-12-24 13:15:00;240;0,9;5,25;0,0;készpénz
4443;2016-12-13 14:45:00;420;0,8;6,25;0,0;készpénz
3595;2016-12-03 13:30:00;360;0,9;5,75;0,0;készpénz
2435;2016-12-02 21:15:00;180;0,4;4,5;0,0;készpénz
6101;2016-12-18 01:15:00;480;0,9;6,75;2,0;bankkártya
1611;2016-12-21 12:00:00;480;0,9;6,5;1,5;bankkártya
109;2016-12-14 19:00:00;540;0,8;6,5;0,0;készpénz
6025;2016-12-02 18:30:00;180;0,4;4,5;0,0;készpénz
4770;2016-12-13 17:45:00;600;0,0;11,25;0,0;készpénz
5475;2016-12-20 18:00:00;300;0,0;5,5;0,0;készpénz
2121;2016-12-22 14:15:00;420;0,0;6,25;2,0;bankkártya
5058;2016-12-03 20:45:00;180;0,8;5,25;0,0;készpénz
2066;2016-12-15 20:30:00;240;0,0;6,0;1,0;bankkártya
8044;2016-12-12 17:30:00;540;0,9;6,75;1,5;bankkártya
2747;2016-12-23 20:15:00;180;0,3;4,25;5,0;bankkártya
4320;2016-12-07 11:30:00;240;0,8;5,5;1,0;bankkártya
6950;2016-12-15 19:30:00;720;0,4;7,5;3,0;bankkártya
8718;2016-12-07 15:45:00;420;0,9;6,25;0,0;készpénz
3062;2016-12-08 09:00:00;120;0,4;4,25;0,0;készpénz
7197;2016-12-19 14:15:00;300;0,8;5,5;0,0;bankkártya
4352;2016-12-05 15:30:00;900;0,5;22,25;7,85;bankkártya
5867;2016-12-27 12:15:00;840;0,1;11,5;2,3;bankkártya
7689;2016-12-13 14:45:00;420;0,6;5,75;2,0;bankkártya
4938;2016-12-06 19:30:00;1260;0,2;13,75;0,0;készpénz
1159;2016-12-01 00:15:00;180;0,4;4,25;2,0;bankkártya
6749;2016-12-14 16:15:00;360;0,0;6,0;0,0;készpénz
8054;2016-12-29 08:15:00;240;0,6;5,0;0,0;készpénz
5114;2016-12-20 19:30:00;2040;0,0;32,25;8,05;bankkártya
6956;2016-12-21 14:30:00;360;0,7;5,5;0,0;készpénz
1347;2016-12-15 05:00:00;60;0,0;3,25;0,0;készpénz
2901;2016-12-06 20:45:00;1200;0,0;27,5;8,25;bankkártya
4107;2016-12-13 16:00:00;180;0,0;5,0;0,0;készpénz
6513;2016-12-04 02:45:00;360;0,1;7,5;1,0;bankkártya
8232;2016-12-23 00:30:00;540;0,0;12,25;0,0;készpénz
3546;2016-12-21 16:00:00;360;0,9;6,0;1,0;bankkártya
5475;2016-12-07 10:45:00;240;0,0;5,25;0,0;készpénz
1460;2016-12-22 11:45:00;1740;0,1;15,75;0,0;készpénz
6902;2016-12-20 02:45:00;300;0,0;6,25;2,0;bankkártya
5117;2016-12-05 00:30:00;1380;0,5;23,0;5,0;bankkártya
50;2016-12-09 16:15:00;300;0,0;5,5;3,0;bankkártya
5029;2016-12-08 19:00:00;660;0,0;7,0;0,0;készpénz
5406;2016-12-23 09:30:00;360;0,0;6,0;0,0;készpénz
4119;2016-12-31 19:45:00;1440;0,0;18,0;0,0;készpénz
2236;2016-12-09 17:30:00;480;0,5;5,75;0,0;készpénz
6717;2016-12-03 04:00:00;120;0,4;4,25;2,0;bankkártya
1270;2016-12-15 20:00:00;420;0,9;6,0;2,0;bankkártya
827;2016-12-10 17:30:00;900;0,9;8,0;0,0;készpénz
3997;2016-12-10 22:45:00;300;0,7;5,5;3,0;bankkártya
4089;2016-12-11 13:45:00;360;0,9;6,0;0,0;készpénz
1426;2016-12-27 19:30:00;480;0,9;6,5;0,0;készpénz
2330;2016-12-31 03:15:00;420;0,1;10,25;0,0;készpénz
8232;2016-12-22 13:00:00;840;0,0;14,25;0,0;készpénz
2828;2016-12-09 23:15:00;180;0,4;4,5;0,0;készpénz
8647;2016-12-28 18:30:00;180;0,6;5,0;1,0;bankkártya
7307;2016-12-03 21:00:00;180;0,53;4,5;0,0;készpénz
3931;2016-12-14 08:30:00;180;0,6;4,5;0,0;készpénz
3684;2016-12-07 22:45:00;180;0,0;5,0;0,0;készpénz
5226;2016-12-10 04:45:00;180;0,6;5,0;4,0;bankkártya
4044;2016-12-02 13:45:00;960;0,0;11,0;0,0;készpénz
8648;2016-12-16 14:45:00;2160;0,0;27,75;4,0;bankkártya
1750;2016-12-08 13:15:00;60;0,0;3,25;0,0;készpénz
6744;2016-12-16 13:00:00;420;0,0;6,25;2,0;bankkártya
5636;2016-12-16 00:30:00;660;0,0;8,0;1,0;bankkártya
4924;2016-12-31 11:00:00;180;0,7;5,0;0,0;készpénz
7643;2016-12-30 17:00:00;240;0,0;5,0;0,0;készpénz
3004;2016-12-15 13:15:00;300;0,5;5,25;0,0;készpénz
1010;2016-12-01 02:30:00;180;0,4;5,0;0,0;készpénz
7365;2016-12-23 23:00:00;240;0,8;5,5;3,0;bankkártya
6134;2016-12-16 20:00:00;420;0,8;6,0;1,0;bankkártya
4770;2016-12-03 19:15:00;900;0,0;14,25;0,0;készpénz
3254;2016-12-14 11:45:00;240;0,6;5,0;0,0;készpénz
7531;2016-12-05 18:45:00;300;0,7;5,75;0,0;készpénz
8648;2016-12-13 11:15:00;1020;0,0;11,0;1,0;bankkártya
6620;2016-12-01 18:45:00;300;0,8;5,5;2,0;bankkártya
548;2016-12-16 09:30:00;360;0,0;6,0;0,0;készpénz
847;2016-12-14 08:15:00;660;0,8;7,25;0,0;készpénz
2845;2016-12-20 18:15:00;720;0,41;7,0;0,0;készpénz
4611;2016-12-02 19:00:00;600;0,0;7,5;0,0;készpénz
2596;2016-12-29 19:45:00;360;0,7;5,75;3,0;bankkártya
3400;2016-12-12 15:00:00;180;0,7;5,0;1,0;bankkártya
700;2016-12-13 13:15:00;480;0,6;6,25;2,0;bankkártya
8546;2016-12-13 18:00:00;540;0,0;6,25;0,0;készpénz
5795;2016-12-04 16:00:00;360;0,8;6,0;0,0;készpénz
760;2016-12-09 14:30:00;720;0,0;19,0;0,0;készpénz
4653;2016-12-19 16:15:00;600;0,0;7,5;2,0;bankkártya
8661;2016-12-14 18:30:00;60;0,0;3,25;0,0;készpénz
7005;2016-12-13 17:30:00;420;0,9;6,0;2,0;bankkártya
710;2016-12-01 21:45:00;360;0,0;6,25;0,0;készpénz
8016;2016-12-23 17:15:00;240;0,0;4,75;0,0;készpénz
3014;2016-12-17 16:45:00;420;0,0;5,75;4,0;bankkártya
1901;2016-12-05 09:00:00;240;0,0;4,75;0,0;készpénz
6366;2016-12-18 13:45:00;420;0,7;6,0;0,0;készpénz
7689;2016-12-14 18:00:00;1200;0,7;9,75;0,0;készpénz
6675;2016-12-17 23:30:00;480;0,9;6,25;1,0;bankkártya
8588;2016-12-15 19:15:00;1440;0,4;21,5;0,0;készpénz
7627;2016-12-07 21:15:00;240;0,4;4,75;3,0;bankkártya
4488;2016-12-16 15:15:00;420;0,5;5,75;0,0;készpénz
3238;2016-12-16 18:00:00;1140;0,0;9,75;0,0;készpénz
857;2016-12-13 20:15:00;294;0,88;5,75;0,0;készpénz
3862;2016-12-13 19:00:00;420;0,0;6,25;0,0;készpénz
8022;2016-12-22 17:45:00;780;0,0;9,5;0,0;készpénz
4748;2016-12-30 22:45:00;300;0,6;5,25;0,0;készpénz
6086;2016-12-23 13:30:00;1080;0,0;11,5;3,75;bankkártya
2640;2016-12-28 14:45:00;660;0,1;9,25;4,0;bankkártya
6967;2016-12-05 17:30:00;180;0,4;4,5;0,0;készpénz
8734;2016-12-06 20:30:00;2640;0,9;38,5;8,5;bankkártya
3921;2016-12-20 18:15:00;720;0,85;7,5;0,0;készpénz
8446;2016-12-22 01:00:00;720;0,1;11,25;2,8;bankkártya
554;2016-12-11 14:00:00;180;0,5;4,75;0,0;készpénz
4497;2016-12-07 06:30:00;234;0,68;5,25;4,0;bankkártya
1385;2016-12-17 15:30:00;1980;0,0;21,0;0,0;készpénz
1030;2016-12-05 09:30:00;180;0,0;4,75;2,0;bankkártya
4000;2016-12-08 19:00:00;180;0,3;4,25;1,75;bankkártya
6378;2016-12-06 10:30:00;960;0,3;18,75;0,0;készpénz
2400;2016-12-13 21:00:00;240;0,5;4,75;0,0;készpénz
6830;2016-12-16 19:00:00;60;0,0;3,25;0,0;készpénz
2421;2016-12-11 00:15:00;60;0,0;3,75;0,0;készpénz
5881;2016-12-22 16:30:00;540;0,9;7,75;2,0;bankkártya
3506;2016-12-12 12:15:00;240;0,5;4,75;0,0;készpénz
2877;2016-12-13 12:00:00;600;0,0;8,0;0,0;készpénz
6317;2016-12-13 10:45:00;300;0,0;5,0;0,0;készpénz
5548;2016-12-19 13:45:00;240;0,7;5,25;0,0;készpénz
4123;2016-12-02 01:15:00;420;0,9;6,5;0,0;készpénz
642;2016-12-05 15:30:00;10;0,02;3,25;0,0;készpénz
7776;2016-12-23 00:00:00;540;0,2;11,5;2,85;bankkártya
1110;2016-12-27 18:00:00;360;0,0;5,5;0,0;készpénz
6923;2016-12-23 11:30:00;420;0,0;7,5;2,0;bankkártya
1736;2016-12-19 20:30:00;180;0,0;4,5;2,0;bankkártya
4809;2016-12-13 08:30:00;180;0,4;4,5;0,0;készpénz
6147;2016-12-07 01:00:00;180;0,29;4,25;2,0;bankkártya
6552;2016-12-08 13:00:00;1980;0,0;45,75;9,15;bankkártya
286;2016-12-20 14:15:00;300;0,8;5,5;2,0;bankkártya
2607;2016-12-27 20:30:00;240;0,8;5,25;3,0;bankkártya
7596;2016-12-06 19:30:00;2520;0,0;50,25;12,45;bankkártya
2545;2016-12-20 15:15:00;240;0,9;5,5;1,1;bankkártya
973;2016-12-10 23:00:00;60;0,0;3,5;0,0;készpénz
4092;2016-12-22 23:30:00;240;0,0;5,25;2,0;bankkártya
4570;2016-12-13 13:30:00;240;0,5;5,0;0,0;készpénz
8310;2016-12-16 00:00:00;300;0,1;8,5;2,0;bankkártya
3209;2016-12-18 05:30:00;660;0,0;10,0;0,0;készpénz
7011;2016-12-03 16:30:00;1260;0,0;13,75;0,0;készpénz
6513;2016-12-31 01:00:00;240;0,0;5,25;4,0;bankkártya
7912;2016-12-21 07:45:00;300;0,53;5,5;0,0;bankkártya
2863;2016-12-02 07:45:00;360;0,0;6,75;1,0;bankkártya
3089;2016-12-19 02:30:00;240;0,0;6,25;2,0;bankkártya
3514;2016-12-26 19:45:00;420;0,0;7,25;0,0;készpénz
6219;2016-12-13 10:00:00;300;0,7;5,5;0,0;bankkártya
7484;2016-12-20 09:45:00;300;0,6;5,5;0,0;készpénz
8117;2016-12-17 22:30:00;600;0,0;7,0;0,0;készpénz
7210;2016-12-16 08:00:00;360;0,0;5,75;0,0;készpénz
4591;2016-12-10 14:45:00;540;0,2;6,5;0,0;készpénz
3068;2016-12-27 17:45:00;540;0,5;6,75;0,0;készpénz
8016;2016-12-14 18:30:00;1140;0,0;13,75;2,95;bankkártya
5933;2016-12-11 18:45:00;300;0,9;5,75;3,0;bankkártya
4438;2016-12-30 16:15:00;960;0,1;10,0;3,0;bankkártya
7810;2016-12-18 04:30:00;240;0,6;5,0;0,0;ingyenes
3514;2016-12-10 20:45:00;240;0,0;4,75;0,0;készpénz
4111;2016-12-07 18:00:00;1140;0,0;11,0;3,3;bankkártya
6743;2016-12-11 03:30:00;720;0,1;10,5;2,1;bankkártya
5357;2016-12-22 01:30:00;660;0,0;10,5;1,0;bankkártya
8273;2016-12-15 09:15:00;720;0,8;7,75;0,0;készpénz
8171;2016-12-16 22:00:00;240;0,7;5,0;0,0;készpénz
5697;2016-12-14 20:00:00;300;0,4;5,0;2,0;bankkártya
1482;2016-12-16 19:45:00;1860;0,4;23,5;2,0;bankkártya
4559;2016-12-13 09:45:00;480;0,7;6,0;0,0;készpénz
5226;2016-12-20 10:00:00;180;0,5;4,75;0,0;készpénz
4009;2016-12-24 21:00:00;120;0,2;4,0;0,0;készpénz
3017;2016-12-21 14:45:00;120;0,0;4,5;2,0;bankkártya
505;2016-12-26 22:15:00;600;0,0;9,25;2,0;bankkártya
3588;2016-12-08 13:30:00;300;0,0;5,75;2,0;bankkártya
772;2016-12-06 19:45:00;21;0,0;3,25;0,0;bankkártya
8203;2016-12-06 14:45:00;240;0,5;4,75;0,0;készpénz
8188;2016-12-07 19:00:00;480;0,9;6,5;2,0;bankkártya
5433;2016-12-09 10:30:00;300;0,8;5,5;0,0;készpénz
8578;2016-12-15 14:15:00;180;0,6;5,0;0,0;készpénz
1827;2016-12-03 15:45:00;360;0,0;6,25;0,0;készpénz
451;2016-12-21 21:00:00;420;0,0;6,75;2,0;bankkártya
8247;2016-12-04 11:15:00;60;0,5;4,25;0,0;készpénz
1265;2016-12-12 16:30:00;360;0,9;6,25;0,0;készpénz
7066;2016-12-09 23:30:00;900;0,0;14,25;0,0;készpénz
6969;2016-12-04 03:45:00;1020;0,3;16,25;0,0;készpénz
1644;2016-12-08 12:00:00;360;0,6;5,75;2,0;bankkártya
12;2016-12-26 18:30:00;300;0,7;5,25;0,0;készpénz
4852;2016-12-30 21:30:00;60;0,8;5,0;0,0;készpénz
8710;2016-12-24 18:00:00;480;0,1;8,0;0,0;készpénz
2785;2016-12-16 13:45:00;600;0,9;7,0;0,0;készpénz
4146;2016-12-09 11:00:00;240;0,2;4,5;0,0;készpénz
7806;2016-12-11 10:15:00;180;0,65;5,0;0,0;készpénz
1747;2016-12-13 15:30:00;240;0,3;4,75;2,0;bankkártya
3515;2016-12-12 18:15:00;300;0,8;5,75;0,0;készpénz
6577;2016-12-24 09:45:00;360;0,8;6,0;3,0;bankkártya
866;2016-12-05 08:45:00;540;0,7;6,25;2,0;bankkártya
2986;2016-12-11 17:45:00;660;0,8;7,5;0,0;készpénz
5426;2016-12-08 16:00:00;2640;0,0;42,75;9,35;bankkártya
3356;2016-12-16 22:00:00;660;0,0;14,25;0,0;készpénz
8606;2016-12-17 16:30:00;300;0,9;5,5;0,0;készpénz
414;2016-12-30 21:15:00;120;0,0;4,25;2,0;bankkártya
6513;2016-12-07 20:15:00;1020;0,1;10,0;2,0;bankkártya
7307;2016-12-19 09:45:00;300;0,56;5,25;0,0;készpénz
6344;2016-12-19 13:15:00;240;0,5;5,0;2,0;bankkártya
7676;2016-12-16 06:30:00;240;0,8;5,25;0,0;készpénz
4285;2016-12-08 14:45:00;480;0,0;6,5;1,0;bankkártya
8044;2016-12-07 18:00:00;60;0,0;55,25;0,0;készpénz
569;2016-12-02 17:00:00;180;0,0;4,5;2,0;bankkártya
6907;2016-12-22 14:30:00;240;0,5;4,75;2,0;bankkártya
6744;2016-12-21 18:00:00;1080;0,0;9,75;0,0;készpénz
97;2016-12-21 03:00:00;480;0,1;9,0;0,0;készpénz
5151;2016-12-19 14:45:00;1800;0,8;35,25;9,8;bankkártya
3360;2016-12-04 01:00:00;240;0,0;4,75;0,0;készpénz
4680;2016-12-18 19:15:00;480;0,0;6,75;0,0;készpénz
2026;2016-12-01 10:30:00;1380;0,9;39,0;7,8;bankkártya
1852;2016-12-08 16:15:00;1200;0,2;15,25;0,0;készpénz
5991;2016-12-19 09:30:00;360;0,5;5,25;0,0;készpénz
1633;2016-12-18 11:00:00;660;0,0;9,5;0,0;készpénz
8117;2016-12-03 14:45:00;420;0,0;6,5;1,0;bankkártya
7415;2016-12-10 18:45:00;780;0,0;10,0;0,0;készpénz
3395;2016-12-31 02:15:00;480;0,3;4,5;0,0;bankkártya
1827;2016-12-08 10:00:00;780;0,1;10,25;2,25;bankkártya
8508;2016-12-18 17:00:00;960;0,1;11,75;2,55;bankkártya
5834;2016-12-16 09:15:00;660;0,1;9,25;3,0;bankkártya
3799;2016-12-31 14:15:00;240;0,0;5,5;0,0;készpénz
7257;2016-12-19 15:15:00;840;0,0;9,25;0,0;készpénz
6252;2016-12-21 17:15:00;300;0,6;5,25;0,0;készpénz
7758;2016-12-09 10:00:00;540;0,1;8,75;0,0;készpénz
1010;2016-12-15 19:00:00;300;0,6;5,25;0,0;készpénz
6305;2016-12-09 07:15:00;720;0,1;11,0;0,0;készpénz
8758;2016-12-03 18:15:00;480;0,9;6,75;2,0;bankkártya
397;2016-12-02 14:45:00;360;0,7;6,25;0,0;készpénz
3773;2016-12-02 16:00:00;420;0,0;6,0;0,0;készpénz
5138;2016-12-18 10:15:00;300;0,8;5,5;0,0;készpénz
3163;2016-12-03 00:45:00;420;0,0;10,25;0,0;készpénz
6078;2016-12-02 17:00:00;540;0,0;7,0;2,0;bankkártya
7355;2016-12-13 21:45:00;300;0,0;5,75;0,0;készpénz
6145;2016-12-06 09:45:00;480;0,9;7,0;1,0;bankkártya
1776;2016-12-11 20:45:00;240;0,3;4,5;0,0;készpénz
7540;2016-12-19 10:45:00;300;0,8;6,0;0,0;készpénz
5807;2016-12-09 12:00:00;540;0,8;6,75;2,0;bankkártya
6197;2016-12-02 13:30:00;60;0,0;3,25;0,0;készpénz
3040;2016-12-14 09:15:00;900;0,0;13,0;2,0;bankkártya
1026;2016-12-02 15:45:00;300;0,0;5,5;0,0;készpénz
4872;2016-12-15 12:30:00;540;0,0;7,5;0,0;készpénz
788;2016-12-20 08:45:00;600;0,0;7,75;4,38;bankkártya
5222;2016-12-20 14:15:00;240;0,3;4,5;0,0;készpénz
7693;2016-12-04 20:45:00;234;0,82;5,25;0,0;készpénz
5729;2016-12-22 14:15:00;240;0,0;4,75;0,0;készpénz
2206;2016-12-17 15:00:00;420;0,9;6,0;0,0;készpénz
5796;2016-12-06 18:45:00;720;0,0;8,5;2,0;bankkártya
7939;2016-12-02 04:15:00;300;0,0;5,75;0,0;készpénz
3649;2016-12-09 14:30:00;1020;0,0;10,25;2,0;bankkártya
2175;2016-12-13 19:15:00;840;0,0;8,75;0,0;készpénz
3567;2016-12-21 19:00:00;180;0,2;4,25;0,0;készpénz
8376;2016-12-26 23:15:00;265;0,77;5,25;0,0;készpénz
4063;2016-12-15 20:15:00;420;0,4;5,5;4,5;bankkártya
7992;2016-12-17 22:15:00;3120;0,0;43,5;12,0;bankkártya
3875;2016-12-05 21:30:00;240;0,6;5,0;0,0;készpénz
5881;2016-12-13 19:30:00;420;0,7;6,25;0,0;készpénz
684;2016-12-31 12:30:00;240;0,0;5,0;1,0;bankkártya
8648;2016-12-23 16:15:00;300;0,0;5,5;0,0;készpénz
4109;2016-12-30 14:15:00;540;0,0;8,5;2,0;bankkártya
686;2016-12-12 23:30:00;360;0,0;6,25;0,0;készpénz
3238;2016-12-27 15:45:00;2400;0,9;41,25;0,0;készpénz
3865;2016-12-17 16:45:00;360;0,0;6,5;2,0;bankkártya
3433;2016-12-09 18:00:00;60;0,0;3,25;0,0;készpénz
393;2016-12-14 15:15:00;600;0,0;7,25;0,0;készpénz
2653;2016-12-08 15:00:00;20;0,0;3,25;0,0;készpénz
3899;2016-12-23 10:00:00;1560;0,0;36,5;0,0;készpénz
6826;2016-12-10 22:00:00;300;0,46;4,75;0,0;készpénz
3736;2016-12-19 09:30:00;240;0,5;5,0;0,0;készpénz
4332;2016-12-06 07:45:00;720;0,6;7,75;10,0;bankkártya
7187;2016-12-22 09:15:00;360;0,8;6,0;0,0;készpénz
4675;2016-12-08 18:30:00;180;0,0;4,0;0,0;készpénz
4490;2016-12-11 17:45:00;180;0,4;4,5;0,0;készpénz
6322;2016-12-20 19:00:00;480;0,8;6,75;2,0;bankkártya
4325;2016-12-27 23:45:00;420;0,0;7,0;2,0;bankkártya
4877;2016-12-30 12:45:00;300;0,0;5,75;2,0;bankkártya
8088;2016-12-12 15:45:00;274;0,68;5,25;1,0;bankkártya
4576;2016-12-07 00:45:00;240;0,0;5,75;3,0;bankkártya
3684;2016-12-21 19:15:00;480;0,0;7,0;0,0;készpénz
2240;2016-12-28 14:45:00;300;0,0;5,75;0,0;készpénz
8636;2016-12-22 17:30:00;480;0,0;6,5;0,0;készpénz
5117;2016-12-15 20:45:00;1200;0,8;33,5;0,0;készpénz
5179;2016-12-26 12:00:00;240;0,5;5,0;3,0;bankkártya
4362;2016-12-03 11:00:00;360;0,9;6,0;0,0;készpénz
1030;2016-12-19 09:15:00;480;0,0;6,75;1,0;bankkártya
6094;2016-12-17 23:15:00;480;0,0;6,25;0,0;készpénz
2226;2016-12-05 14:00:00;360;0,9;6,25;0,0;készpénz
4438;2016-12-09 11:00:00;540;0,0;7,75;0,0;készpénz
1555;2016-12-15 15:30:00;60;0,1;3,75;0,0;ingyenes
6458;2016-12-09 11:45:00;540;0,0;7,25;0,0;készpénz
2059;2016-12-13 09:45:00;420;0,9;6,25;1,5;bankkártya
4297;2016-12-01 10:30:00;480;0,1;8,0;3,0;bankkártya
7961;2016-12-19 15:15:00;180;0,5;4,75;0,0;készpénz
7766;2016-12-18 19:00:00;480;0,8;6,0;0,0;készpénz
5580;2016-12-13 14:45:00;360;0,5;5,75;0,0;készpénz
1163;2016-12-16 22:15:00;180;0,5;4,75;2,0;bankkártya
5869;2016-12-07 10:30:00;240;0,3;4,5;0,0;készpénz
5028;2016-12-01 13:15:00;300;0,38;5,0;3,0;bankkártya
6922;2016-12-14 19:15:00;300;0,6;5,25;2,0;bankkártya
7523;2016-12-31 21:15:00;480;0,7;6,25;0,0;készpénz
6775;2016-12-26 01:15:00;420;0,0;8,0;0,0;készpénz
6945;2016-12-08 14:45:00;300;0,5;5,25;0,0;készpénz
1759;2016-12-16 12:45:00;300;0,6;5,0;1,0;bankkártya
1164;2016-12-09 09:45:00;1200;0,1;12,25;2,45;bankkártya
3786;2016-12-24 15:45:00;420;0,9;6,25;0,0;bankkártya
5401;2016-12-06 10:30:00;420;0,9;6,5;2,0;bankkártya
547;2016-12-31 16:00:00;300;0,0;3,25;0,0;készpénz
1460;2016-12-24 18:45:00;300;0,0;5,25;1,0;bankkártya
2139;2016-12-22 15:30:00;360;0,4;5,5;2,0;bankkártya
1109;2016-12-17 00:45:00;240;0,5;4,75;1,0;bankkártya
1691;2016-12-24 21:15:00;660;0,0;10,5;0,0;készpénz
1538;2016-12-28 19:30:00;60;0,4;4,0;0,0;készpénz
3233;2016-12-26 10:00:00;120;0,4;4,25;0,0;készpénz
6129;2016-12-03 20:00:00;300;0,5;5,0;0,0;készpénz
505;2016-12-13 11:30:00;420;0,0;6,75;0,0;készpénz
8436;2016-12-13 15:00:00;240;0,6;5,0;2,0;bankkártya
4007;2016-12-05 22:15:00;240;0,5;4,75;0,0;készpénz
6317;2016-12-16 17:00:00;840;0,0;8,75;0,0;készpénz
3043;2016-12-30 17:45:00;600;0,0;8,75;2,0;bankkártya
3891;2016-12-15 18:45:00;240;0,0;5,25;0,0;készpénz
8380;2016-12-30 11:15:00;240;0,7;6,25;0,0;készpénz
6065;2016-12-01 02:30:00;60;0,0;8,0;0,0;bankkártya
2139;2016-12-28 15:00:00;180;0,3;4,25;0,0;készpénz
2118;2016-12-01 20:45:00;780;0,0;11,75;0,0;bankkártya
2457;2016-12-22 20:00:00;960;0,0;11,0;0,0;készpénz
229;2016-12-12 19:30:00;240;0,7;5,5;2,0;bankkártya
7717;2016-12-14 22:45:00;120;0,3;4,0;0,0;készpénz
5367;2016-12-13 15:45:00;1080;0,0;14,75;0,0;készpénz
4467;2016-12-20 08:00:00;180;0,4;4,25;0,0;készpénz
4005;2016-12-04 19:15:00;180;0,3;4,25;0,0;készpénz
4680;2016-12-09 18:15:00;480;0,0;6,25;0,0;készpénz
3462;2016-12-07 09:30:00;300;0,7;5,25;0,0;készpénz
